id,document_id,user_id,"created_at","updated_at"
481,481,162,"2017-07-12 19:45:10","2017-07-12 19:45:10"
482,482,162,"2017-07-12 19:49:04","2017-07-12 19:49:04"
483,483,162,"2017-07-12 19:49:50","2017-07-12 19:49:50"
484,484,162,"2017-07-12 19:50:37","2017-07-12 19:50:37"
485,485,162,"2017-07-12 19:51:38","2017-07-12 19:51:38"
486,486,162,"2017-07-12 19:55:31","2017-07-12 19:55:31"
487,487,162,"2017-07-12 19:57:41","2017-07-12 19:57:41"
488,488,162,"2017-07-12 19:57:53","2017-07-12 19:57:53"
489,489,162,"2017-07-12 20:05:29","2017-07-12 20:05:29"
490,490,162,"2017-07-12 20:14:28","2017-07-12 20:14:28"
491,491,162,"2017-07-12 20:15:52","2017-07-12 20:15:52"
492,492,162,"2017-07-12 20:25:59","2017-07-12 20:25:59"
493,493,162,"2017-07-12 20:29:10","2017-07-12 20:29:10"
494,494,162,"2017-07-12 20:39:54","2017-07-12 20:39:54"
495,495,164,"2017-07-12 22:38:05","2017-07-12 22:38:05"
496,496,121,"2017-07-13 04:35:33","2017-07-13 04:35:33"
